epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,61.473,3.23853,4.6976,4.21633,0.00129,0.30614,0.00142,0.00031,3.03761,4.45739,4.44621,0.00995556,0.00331852,0.00995556,0.00331852,0.00995556,0.00331852,0.00995556,0.00331852
2,109.149,3.03404,4.29185,3.82061,0.59861,0.05476,0.02329,0.00543,2.76243,6.1059,3.61182,0.0198568,0.00661893,0.0198568,0.00661893,0.0198568,0.00661893,0.0198568,0.00661893
3,151.819,2.4822,3.80396,3.11641,0.53358,0.0927,0.06191,0.02521,2.2662,5.29629,3.01722,0.029659,0.00988633,0.029659,0.00988633,0.029659,0.00988633,0.029659,0.00988633
4,191.091,2.00634,3.27466,2.54245,0.17285,0.20444,0.16919,0.08614,2.03987,3.68471,2.8285,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,230.142,1.74034,2.79352,2.22838,0.37528,0.29301,0.27813,0.14804,1.86058,2.71422,2.44234,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,269.561,1.6122,2.54213,2.08234,0.38668,0.38348,0.35355,0.20155,1.70333,2.48648,2.24173,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,307.313,1.52001,2.33385,1.98312,0.46494,0.41322,0.39497,0.23479,1.56943,2.34044,2.16386,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,345.336,1.47075,2.2356,1.91222,0.48655,0.51486,0.50977,0.30705,1.44778,2.00995,1.96214,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,383.209,1.41925,2.11093,1.84579,0.67105,0.48159,0.57324,0.34212,1.48936,1.79104,1.93633,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,420.873,1.36079,1.96833,1.7853,0.62174,0.49928,0.55667,0.35314,1.33227,1.71338,1.82706,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,458.635,1.32957,1.88974,1.74776,0.5935,0.50273,0.54067,0.32929,1.44978,1.85934,1.96407,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
