epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,1190.29,1.19748,1.40207,1.61983,0.83481,0.70798,0.82003,0.53121,1.23778,1.07553,1.62597,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,1226.19,1.18531,1.35555,1.60728,0.77002,0.74867,0.81513,0.52548,1.22589,1.10222,1.61148,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,1264.03,1.18072,1.3641,1.59655,0.81647,0.74483,0.83846,0.54051,1.22554,1.03235,1.58546,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,1301.02,1.18615,1.36379,1.60937,0.83377,0.72523,0.83049,0.55487,1.15791,1.04156,1.54257,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,1338.5,1.16611,1.32509,1.57864,0.82971,0.75085,0.82888,0.54809,1.23878,1.04398,1.5956,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,1376.56,1.16672,1.3093,1.5831,0.83787,0.79451,0.86173,0.54421,1.21528,0.97984,1.56996,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,1412.76,1.17229,1.32085,1.58715,0.79491,0.78645,0.84916,0.55965,1.17694,1.00233,1.56037,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,1448.9,1.14439,1.26375,1.55896,0.80817,0.77936,0.85373,0.55418,1.20209,1.01557,1.55738,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,1484.69,1.14895,1.27342,1.56965,0.83326,0.78995,0.86372,0.56331,1.1963,0.94881,1.5591,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,1521.51,1.14039,1.25568,1.5595,0.8486,0.76607,0.85453,0.5673,1.1796,0.98064,1.54671,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,1559.19,1.1452,1.26174,1.5663,0.86159,0.76934,0.85106,0.57087,1.14773,0.98353,1.52539,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,1596.34,1.12858,1.23806,1.53957,0.84839,0.78955,0.86316,0.5497,1.25911,0.95897,1.59849,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,1635.43,1.11373,1.21756,1.5281,0.87132,0.79744,0.87428,0.58186,1.17111,0.94188,1.5266,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,1672.49,1.12819,1.22888,1.54487,0.86041,0.79823,0.87362,0.59661,1.13857,0.91333,1.50493,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,1709.3,1.12202,1.21612,1.54302,0.84424,0.79983,0.87128,0.59451,1.08969,0.89714,1.46755,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,1746.02,1.11252,1.18875,1.52616,0.84676,0.80219,0.87563,0.58385,1.14508,0.90121,1.50415,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,1782.69,1.09991,1.16977,1.51331,0.86137,0.79072,0.87064,0.57515,1.1607,0.91975,1.51856,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,1819.58,1.12017,1.19312,1.53222,0.87053,0.79338,0.86753,0.57542,1.19768,0.9167,1.53568,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,1855.92,1.10355,1.15906,1.51729,0.86209,0.80928,0.87692,0.591,1.11309,0.8836,1.47684,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,1894.29,1.09081,1.15258,1.51004,0.87169,0.80094,0.88653,0.58887,1.15439,0.88893,1.49958,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,1931.59,1.09856,1.1406,1.51448,0.87894,0.80821,0.87886,0.58023,1.16671,0.8773,1.51713,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,1968.74,1.08156,1.13405,1.50204,0.89759,0.81162,0.89077,0.58984,1.17001,0.84769,1.49584,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,2004.1,1.07272,1.11126,1.4911,0.86235,0.82992,0.88843,0.59833,1.12895,0.84838,1.4809,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,2040.86,1.07944,1.13673,1.49942,0.87181,0.80186,0.88572,0.60381,1.09823,0.84651,1.45311,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,2077.48,1.06613,1.11172,1.48884,0.89681,0.80191,0.8913,0.60977,1.09682,0.85401,1.4489,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,2113.43,1.07754,1.09799,1.48304,0.88776,0.80901,0.89418,0.60141,1.11062,0.85472,1.44906,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,2150.98,1.07348,1.09369,1.48771,0.87789,0.82599,0.89177,0.61579,1.07822,0.82317,1.43094,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,2188.49,1.0538,1.08914,1.47772,0.8727,0.82251,0.89537,0.61608,1.08228,0.81684,1.43829,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,2225.56,1.07004,1.08712,1.48264,0.85989,0.83576,0.89176,0.61408,1.09142,0.82046,1.45535,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,2261.89,1.06248,1.07675,1.47787,0.89391,0.84481,0.91019,0.61939,1.08348,0.80962,1.43774,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,2298.96,1.0659,1.09595,1.47646,0.90329,0.82877,0.89781,0.61334,1.08882,0.80785,1.43686,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,2336.59,1.04773,1.07206,1.46516,0.89775,0.83378,0.90152,0.62956,1.05284,0.78033,1.41442,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,2372.99,1.03361,1.03924,1.45062,0.88835,0.83457,0.90236,0.62804,1.07718,0.78545,1.41951,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,2410.74,1.03957,1.04965,1.46166,0.86641,0.83979,0.90285,0.62943,1.06839,0.78626,1.42562,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,2447.4,1.05396,1.04441,1.46787,0.90736,0.82042,0.89957,0.6305,1.06326,0.79119,1.42154,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,2484.25,1.04962,1.03682,1.4662,0.8989,0.83024,0.90434,0.62801,1.08824,0.78285,1.44124,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,2520.54,1.03203,1.02564,1.45057,0.89587,0.83476,0.90289,0.62589,1.06658,0.77977,1.40549,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,2557.28,1.03833,1.0362,1.45251,0.90075,0.85211,0.90676,0.62554,1.05912,0.78716,1.41323,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,2594.7,1.0204,1.02414,1.4384,0.89539,0.8501,0.90987,0.63718,1.06415,0.75003,1.41425,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,2631.24,1.02844,1.00608,1.44805,0.87562,0.84746,0.90863,0.62129,1.09394,0.77091,1.42054,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,2668.55,1.00786,0.99452,1.43201,0.90685,0.84107,0.91577,0.64082,1.05128,0.73271,1.40692,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,2704.66,1.0134,0.99572,1.43264,0.91374,0.83356,0.90808,0.6184,1.08938,0.75345,1.4244,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,2740.77,1.01978,0.9989,1.4371,0.91322,0.8457,0.91888,0.63901,1.0655,0.72241,1.40973,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,2776.58,1.01046,0.95812,1.42259,0.89611,0.85013,0.9141,0.63458,1.06102,0.73638,1.39864,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,2812.86,1.00546,0.97133,1.42025,0.89885,0.85084,0.91882,0.64267,1.05774,0.71998,1.39702,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,2849.45,1.00442,0.97786,1.42015,0.89578,0.85465,0.91815,0.6497,1.05716,0.73472,1.39108,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,2886.33,1.00426,0.9706,1.4186,0.91485,0.83655,0.91289,0.63889,1.06001,0.74846,1.39386,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,2923.7,1.00445,0.9599,1.41908,0.88678,0.85932,0.91446,0.64083,1.06555,0.73201,1.40003,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,2960.07,0.9904,0.95452,1.41211,0.89571,0.85725,0.9176,0.65125,1.02147,0.70519,1.37027,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,2996.78,1.00983,0.95697,1.42332,0.9138,0.86121,0.92292,0.65275,1.05169,0.716,1.39418,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,3033.3,0.98774,0.93602,1.40729,0.89139,0.86212,0.92079,0.65983,1.00899,0.69927,1.37068,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,3069.72,0.96965,0.94189,1.3973,0.90217,0.86192,0.91851,0.64959,1.03949,0.70273,1.38235,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,3107.12,0.97985,0.94054,1.40086,0.90854,0.86498,0.92413,0.65916,1.01164,0.67876,1.3619,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,3144.32,0.98786,0.93197,1.40822,0.90608,0.85466,0.91863,0.65616,1.01661,0.69373,1.36556,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,3181.75,0.98569,0.92544,1.40411,0.91458,0.86535,0.92346,0.6565,1.02473,0.69664,1.37235,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,3218.45,0.97695,0.92626,1.39845,0.90879,0.8662,0.92388,0.66303,0.99654,0.69537,1.35011,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,3255.71,0.96729,0.91748,1.38719,0.90566,0.84571,0.91879,0.66164,0.9989,0.69415,1.34597,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,3292.08,0.97111,0.90092,1.38826,0.9011,0.86819,0.91827,0.65957,0.9994,0.67809,1.36618,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,3328.76,0.96825,0.92098,1.39005,0.89681,0.88627,0.93045,0.6649,1.00601,0.66261,1.3575,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,3365.52,0.97647,0.91169,1.38951,0.90868,0.86174,0.92535,0.6639,1.0048,0.68047,1.35507,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,3402.61,0.98099,0.90945,1.39455,0.91184,0.86395,0.92707,0.67057,1.00021,0.68102,1.35429,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,3440.67,0.96528,0.88261,1.38914,0.91034,0.87347,0.92677,0.66488,1.00079,0.68392,1.35343,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,3477.81,0.9523,0.88479,1.38207,0.91701,0.87872,0.92819,0.66454,1.01099,0.6511,1.35148,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,3515.12,0.94991,0.87594,1.37277,0.92573,0.85689,0.93147,0.66941,1.00491,0.64973,1.34352,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,3551.38,0.95598,0.89084,1.37574,0.91241,0.87482,0.93177,0.66888,0.98926,0.65373,1.34113,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,3587.2,0.95446,0.88098,1.3743,0.90055,0.87753,0.92868,0.66821,0.98945,0.6598,1.33907,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,3623.62,0.94909,0.87722,1.378,0.92072,0.8588,0.92572,0.67172,1.00269,0.66218,1.34593,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,3660.78,0.95317,0.8834,1.3703,0.92266,0.87498,0.92876,0.67095,1.00152,0.64924,1.34345,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,3698.04,0.95087,0.86176,1.36348,0.89687,0.88554,0.9276,0.67229,0.9958,0.64144,1.33302,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,3734.34,0.94896,0.85856,1.37257,0.92994,0.87291,0.93292,0.67647,0.9919,0.64239,1.33395,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,3771.2,0.95002,0.85056,1.36326,0.90222,0.88925,0.929,0.67772,0.97046,0.64592,1.31968,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,3807.21,0.93247,0.85691,1.35503,0.93531,0.85798,0.92753,0.66716,0.98901,0.64951,1.32959,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,3842.51,0.9231,0.83742,1.34519,0.9249,0.87594,0.93156,0.68394,0.96927,0.63312,1.31568,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,3879.09,0.93276,0.84279,1.3537,0.91831,0.88536,0.93505,0.67862,0.98624,0.62629,1.32668,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,3916.48,0.9288,0.84604,1.35363,0.90918,0.89241,0.93665,0.68214,0.96524,0.62367,1.31629,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,3954.33,0.92728,0.83972,1.34949,0.92219,0.88802,0.9351,0.68095,0.98546,0.6208,1.32357,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,3991.2,0.9209,0.82324,1.34414,0.92778,0.88917,0.93716,0.68043,0.99054,0.61566,1.32268,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,4028.2,0.92381,0.82416,1.34478,0.9245,0.88419,0.93814,0.68352,0.96201,0.59876,1.30269,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,4064.38,0.93331,0.84925,1.35396,0.92055,0.88047,0.93496,0.68671,0.94849,0.62042,1.30402,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,4100.67,0.92608,0.83322,1.34818,0.91715,0.88965,0.938,0.68759,0.95584,0.62306,1.31603,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,4136.57,0.91886,0.82407,1.344,0.93674,0.88158,0.93702,0.68344,0.95717,0.61627,1.31495,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,4173.57,0.92769,0.83849,1.35201,0.92553,0.88058,0.93711,0.68708,0.94615,0.61158,1.30289,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,4211.42,0.92283,0.82707,1.34251,0.92116,0.87406,0.93587,0.69093,0.94559,0.61513,1.30122,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,4249.88,0.91232,0.81521,1.33973,0.92422,0.87534,0.93535,0.68966,0.94207,0.61661,1.29709,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,4287.17,0.91343,0.82089,1.33834,0.91901,0.89378,0.93671,0.69245,0.93412,0.60476,1.29811,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,4324.03,0.90919,0.80963,1.34183,0.9293,0.88453,0.93922,0.69334,0.93159,0.60024,1.297,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,4360.67,0.90171,0.79282,1.32744,0.92171,0.89176,0.93958,0.69634,0.92916,0.59997,1.29382,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,4396.52,0.91032,0.79341,1.33085,0.92751,0.8814,0.93432,0.6907,0.94426,0.6083,1.29943,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,4432.78,0.88901,0.77871,1.31626,0.92687,0.89862,0.93818,0.69436,0.93355,0.59471,1.29202,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,4469.44,0.90825,0.79674,1.32954,0.92825,0.89316,0.93973,0.69916,0.92846,0.58754,1.28821,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,4505.87,0.89043,0.77629,1.31588,0.91493,0.90078,0.93827,0.69759,0.93309,0.59291,1.29594,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,4542.73,0.89687,0.79531,1.32834,0.92551,0.88642,0.93619,0.6942,0.93612,0.60347,1.30504,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,4578.38,0.89431,0.78701,1.32386,0.92618,0.89965,0.93924,0.69739,0.91844,0.59415,1.29034,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,4614.92,0.88445,0.7808,1.31565,0.93833,0.87967,0.9372,0.69401,0.92164,0.59803,1.29334,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
