epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,58.9067,3.21268,4.69054,4.22682,0.00108,0.20839,0.00031,6e-05,3.32898,100.969,9.4104,0.00995556,0.00331852,0.00995556,0.00331852,0.00995556,0.00331852,0.00995556,0.00331852
2,105.822,3.03882,4.33653,3.8421,0.51587,0.07426,0.0216,0.0043,2.78707,4.41584,3.58323,0.0198568,0.00661893,0.0198568,0.00661893,0.0198568,0.00661893,0.0198568,0.00661893
3,148.29,2.44443,3.7918,3.09512,0.82137,0.06413,0.06351,0.02338,2.38388,4.35155,3.20902,0.029659,0.00988633,0.029659,0.00988633,0.029659,0.00988633,0.029659,0.00988633
4,186.871,1.9429,3.14116,2.48762,0.19419,0.35915,0.21057,0.09957,1.92741,3.63659,2.60766,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,227.236,1.69636,2.70061,2.1863,0.46382,0.34123,0.3402,0.19083,1.69078,2.55718,2.32145,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,267.015,1.58039,2.4668,2.05147,0.40781,0.42626,0.39918,0.23267,1.57323,2.59708,2.15229,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,306.033,1.49775,2.31134,1.96751,0.47122,0.41363,0.43406,0.25913,1.48414,2.13389,2.08949,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,346.038,1.41699,2.15056,1.88438,0.49715,0.47891,0.49044,0.30025,1.48612,2.04956,2.04602,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,386.442,1.38078,2.02997,1.83395,0.60633,0.51475,0.56088,0.34673,1.42614,1.79865,1.95299,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,426.035,1.34738,1.91797,1.78174,0.66531,0.55516,0.61628,0.39152,1.3177,1.60764,1.81715,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
